iteration	t
1	3,57,58,119,165,207,587,713,772
2	17,65,92,98,143
3	11,109,198,2786,2816,3115,3223,3376,3542,3685,3705,4049,6130
4	14,187,264,317,367,398,438,440,503,511,544,549,826,896,910
5	124,282,318,341,348,380,383,814
6	90,102,231,280,299,335,360,362,454,694,853,887
7	123,134,267,302,315,368,379,396,402,429,431,432,442,641,661,729,870,1002,1174
8	7,26,165,195,283,310,340,355,370,382,429,447,472,1608
9	35,54,124,200,276,487,637,678,706,2864
10	23,71,119,142,197,209,283,394,516,599,668
