cut	106
Partition 0	2066,2142,2076
Partition 1	2131,2132,2133
Partition 2	2135,2134,2136
Partition 3	2138,2140
Partition 4	2129,2143,2144
Partition 5	2130,2139,2068
Partition 6	2145,2148,2147
Partition 7	2089,2141
Partition 8	2149,2151,2150
Partition 9	2146,2099,2100
Partition 10	2082,2083,2137
Partition 11	2063,2088,2062
Partition 12	2094,2095
Partition 13	2097,2098
Partition 14	2103,2105,2106,2104
Partition 15	2102,2101,2067
Partition 16	2092,2093,2107
Partition 17	2077,2078,2090,2091
Partition 18	2069,2111
Partition 19	2109,2108
Partition 20	2112,2113,2110
Partition 21	2065,2079
Partition 22	2096,2075
Partition 23	2080,2081
Partition 24	2085,2084,2086,2087
Partition 25	2164,2155
Partition 26	2072,2156,2158
Partition 27	2157,2160,2074
Partition 28	2166,2168
Partition 29	2162,2163,2159
Partition 30	2070,2161,2165
Partition 31	2180,2167
Partition 32	2153,2152
Partition 33	2154,2170,2169,2172
Partition 34	2176,2175,2178
Partition 35	2173,2177,2171
Partition 36	2127,2128,2174
Partition 37	2186,2195
Partition 38	2200,2199,2184
Partition 39	2185,2124,2183
Partition 40	2198,2196,2197
Partition 41	2192,2189,2190
Partition 42	2191,2193,2194
Partition 43	2064,2125
Partition 44	2187,2179,2181
Partition 45	2126,2188,2182
Partition 46	2071,2115,2114
Partition 47	2116,2117,2118
Partition 48	2073,2119,2120
Partition 49	2121,2122,2123
