cut	122
Partition 0	9,63,53
Partition 1	2,75
Partition 2	25,46,31
Partition 3	49,44,51
Partition 4	50,48,78
Partition 5	7,13,21
Partition 6	26,42,35
Partition 7	18,38
Partition 8	1,12,65
Partition 9	56,15,41
Partition 10	0,16,39
Partition 11	20,23,36
Partition 12	37,72,76
Partition 13	10,17,52,66
Partition 14	62,30
Partition 15	74,8,69
Partition 16	11,58,43
Partition 17	19,22,64
Partition 18	4,73,61
Partition 19	54,33,79
Partition 20	34,14,60,67
Partition 21	6,29
Partition 22	5,40,59
Partition 23	77,68
Partition 24	55,32
Partition 25	24,27,71
Partition 26	28,45,47
Partition 27	3,57,70
