cut	99
Partition 0	71,87,32,82,30
Partition 1	24,85,83,84,98
Partition 2	91,89,90,93,92
Partition 3	88,23,20,22,21
Partition 4	69,96,70,72,43
Partition 5	64,65,66,67,68
Partition 6	86,36,34,8,35
Partition 7	19,18,80,17,78
Partition 8	77,16,94,29,13,14,15
Partition 9	99,0,2,11,1
Partition 10	42,40,9,10,38
Partition 11	52,31,51,50,76
Partition 12	97,61,74,75,73
Partition 13	4,3,5,33,7,6,62
Partition 14	12,47,49,45,95
Partition 15	44,59,46,60,58
Partition 16	57,54,25,55,53
Partition 17	63,28,26,37,27
Partition 18	56,48,39,81,41,79
