targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
15	0	15	41	lc	True	True	True	True	5	5	17	17
15	1	15	41	lc	True	True	True	True	5	5	17	17
15	2	15	41	lc	True	True	True	True	5	5	17	17
15	3	15	41	lc	True	True	True	True	5	5	17	17
15	4	15	41	lc	True	True	True	True	5	5	17	17
15	5	15	41	lc	True	True	True	True	5	5	17	17
16	1	16	41	lc	True	True	False	True	6	6	20	19
16	4	16	41	lc	True	True	False	True	6	6	20	19
7	3	7	41	lc	True	True	False	True	3	4	10	9
12	1	12	41	lc	True	True	False	True	4	6	15	14
12	2	12	41	lc	True	True	False	True	4	6	15	14
12	5	12	41	lc	True	True	False	True	4	6	15	14
10	0	10	41	lc	True	True	True	True	3	3	13	13
10	1	10	41	lc	True	True	True	True	3	3	13	13
10	2	10	41	lc	True	True	True	True	3	3	13	13
10	3	10	41	lc	True	True	True	True	3	3	13	13
10	4	10	41	lc	True	True	True	True	3	3	13	13
10	5	10	41	lc	True	True	True	True	3	3	13	13
14	1	14	41	lc	True	True	False	True	4	4	17	15
8	3	9	41	lc	True	True	False	True	5	4	11	10
11	1	11	41	lc	False	True	True	True	4	3	15	14
11	2	11	41	lc	False	True	True	True	4	3	15	14
11	3	11	41	lc	False	True	True	True	4	3	15	14
11	4	11	41	lc	False	True	True	True	4	3	15	14
13	0	13	41	lc	True	True	True	True	4	4	15	15
13	1	13	41	lc	True	True	True	True	4	4	15	15
13	2	13	41	lc	True	True	True	True	4	4	15	15
13	3	13	41	lc	True	True	True	True	4	4	15	15
13	4	13	41	lc	True	True	True	True	4	4	15	15
13	5	13	41	lc	True	True	True	True	4	4	15	15
9	0	9	41	lc	True	True	True	True	3	3	11	11
9	1	9	41	lc	True	True	True	True	3	3	11	11
9	2	9	41	lc	True	True	True	True	3	3	11	11
9	3	9	41	lc	True	True	True	True	3	3	11	11
9	4	9	41	lc	True	True	True	True	3	3	11	11
9	5	9	41	lc	True	True	True	True	3	3	11	11
