cut	127
Partition 0	2192,2193,2194
Partition 1	2191,2189,2190
Partition 2	2198,a_o[0],2197
Partition 3	2185,2186,2196,2195
Partition 4	2200,a_o[1],2199
Partition 5	2064,2125,s_i[0]
Partition 6	s_i[1],2124,2183,2184
Partition 7	2126,2123,2188,2182
Partition 8	2187,2180,2181
Partition 9	2117,2121,2122
Partition 10	t_i[1],2073,2119,2118
Partition 11	2072,2156,2158
Partition 12	2155,2159,t_i[0]
Partition 13	m_i[0],2157,2074
Partition 14	2162,2165,2170
Partition 15	a_i[0],2070,2161
Partition 16	2164,2163,2166,2160
Partition 17	2120,2179,2177
Partition 18	2153,2168,2152
Partition 19	2173,2154,2167,2169,2171
Partition 20	m_i[1],2071,2116
Partition 21	2128,2174,2175,2172
Partition 22	2115,2127,2176,2178
Partition 23	2095,2144,2151
Partition 24	2141,2149,2150
Partition 25	2146,2099,2100
Partition 26	2063,2088,2062,2089
Partition 27	round_i[1],2082,2094,round_i[0]
Partition 28	2145,2148,2147
Partition 29	b_i[0],2129,2142,2143
Partition 30	2066,2131,d_i[0],2068
Partition 31	2130,2139,2140
Partition 32	2132,2135,2136,2133
Partition 33	2138,c_i[0],2076,2134
Partition 34	b_i[1],2065,2096
Partition 35	2079,2101,d_i[1]
Partition 36	2077,2097,2102,2067
Partition 37	2078,2091,2092
Partition 38	2075,2084,2081
Partition 39	2080,2090,c_i[1],2085
Partition 40	2109,2110,2108
Partition 41	2112,2113,2114
Partition 42	a_i[1],2069,2111
Partition 43	2086,2083,2087,2137
Partition 44	2093,2107,2106
Partition 45	2098,2103,2105,2104
