iteration	t
1	283,287,306,307,308,310,317,321,336,351,355,360,361,371,466,559,633,773,804,1007,1030,1115,1119,1177
2	2740,2809,2811,2821,2822,2825,2852,2883,2884,2924,2952,3009,3013,3028,3031,3058,3112,3135,3153,3170
3	98,585,3626,6640,8096,8097,8106,8190,8211
4	3518,3535,3548,3550,4034,4081,4100,4184
5	263,264,283,361,391,418,437,445,453,470,472,483,484,485,496,709,764,979,1101,1160,1203,1242,1251,1256,1266,1286,1349,1361,1419,1458,1462,1469,1478,1504,1506,1675,1685
6	50,654,1649,1658,1698,2999,3357
7	12,25,64,179,8942,8947
8	386,420,618,621,706,1177,8305,11873
9	7,15,41,48,331,332
10	14,18,304,324,5596,5628
