cut	39
Partition 0	9,17,68
Partition 1	26,63
Partition 2	74,77,78
Partition 3	29,32,73
Partition 4	1,18,35
Partition 5	11,55,66
Partition 6	34,48,61
Partition 7	56,70
Partition 8	14,41,46
Partition 9	57,64,67
Partition 10	2,15,65
Partition 11	0,33,44,76
Partition 12	4,6,51
Partition 13	21,49,58
Partition 14	47,50
Partition 15	22,31,79
Partition 16	60,69,75
Partition 17	24,42
Partition 18	8,13,52
Partition 19	20,30
Partition 20	3,38,39,54
Partition 21	10,23,59
Partition 22	45,62
Partition 23	27,28,71
Partition 24	5,7,12
Partition 25	16,19,72
Partition 26	25,40,53
Partition 27	36,37,43
