cut	64
Partition 0	13,16,61
Partition 1	7,32,43
Partition 2	59,10,17
Partition 3	14,63,21
Partition 4	2,11,41
Partition 5	44,35,60
Partition 6	56,28,49
Partition 7	42,58
Partition 8	46,8
Partition 9	31,36
Partition 10	9,25,29
Partition 11	6,54
Partition 12	24,45,52
Partition 13	68,62
Partition 14	4,57,50
Partition 15	23,0,67
Partition 16	34,15
Partition 17	20,51,22
Partition 18	30,38,40
Partition 19	1,47
Partition 20	18,19,39
Partition 21	27,48,65
Partition 22	3,26,69
Partition 23	5,33
Partition 24	12,64,53
Partition 25	66,37,55
