cut	66
Partition 0	30,42
Partition 1	21,37,59
Partition 2	46,25,26
Partition 3	28,9,20
Partition 4	6,45,60
Partition 5	12,38,52
Partition 6	36,5
Partition 7	17,31,65
Partition 8	22,56,61,68
Partition 9	8,13,11
Partition 10	19,33,63
Partition 11	2,15,69
Partition 12	0,50,51
Partition 13	7,34,64
Partition 14	53,66,57
Partition 15	23,3
Partition 16	27,54,1
Partition 17	39,35,58
Partition 18	16,47
Partition 19	40,44,43
Partition 20	18,32,41,55
Partition 21	62,14,49
Partition 22	4,48,29
Partition 23	67,10,24
