iteration	t
1	22,27,61,96,165,196,197,223,378,391,406,483,506,777,1051,1099,1365,1466,2088,2110,2273,2301,2394,2494,2829,2846,3146,3324,3693,4359,6217,6758,7003,8073,9744,10812,14582,19629,34803,38643,76932,175072,177372
2	1,37,66,71,93,101,115,121,153,184,201,217,315,323,345,364,369,485,521,566,824,972,975,1001,1035,1089,1112,1294,1331,1629,1716,1772,2022,3145,3419,8885,28281,31983
3	7,51,84,95,108,138,159,272,298,330,386,530,541,551,647,655,784,930,1132,1219,1252,1319,1344,1450,1653,1664,1757,1931,2354,2725,2946,3430,3549,7793,8296,17763,20436,26009,30179
4	42,50,51,73,87,121,163,179,214,215,373,497,531,564,721,951,1109,1169,1563,1719,1940,1989,2103,2327,2611,2653,2752,3389,3642,5035,8381,8734,8833,10174,19093,66683
5	39,79,138,158,173,206,356,459,571,723,786,800,886,930,968,1076,1111,1479,1517,1851,2106,2133,2782,2845,2934,3090,3357,3700,4953,6767,6939,7479,7894,8014,67808
6	34,59,61,82,83,101,129,142,155,214,222,307,338,407,478,481,647,705,723,822,854,911,1148,1230,1398,1941,2498,2839,3284,3646,3694,3958,4470,6724,7960,9885,10374,17482,30272
7	56,62,77,101,147,189,209,298,315,324,428,474,486,488,498,532,556,617,655,784,789,898,954,980,1215,1547,1582,1596,1677,1903,3291,4476,4539,5750,5871,6414,15687,37207
8	12,32,48,62,69,74,85,144,145,210,285,316,335,443,445,466,476,542,597,605,639,723,735,883,885,895,1281,1505,1759,3927,4085,6753,9313,14889,71021,259671
9	66,93,124,175,200,267,304,518,560,638,659,688,769,781,1065,1086,1227,1265,1637,1786,1857,1891,1944,1999,2267,2330,2487,2531,2970,3510,3710,4891,5049,5327,5344,5388,5985,6662,7387,7987,14390,16859
10	8,38,60,101,114,122,142,189,205,292,294,311,317,345,374,433,482,577,624,700,785,810,816,847,848,876,1316,1331,1678,1754,2152,2511,7214,7855,8490,10082,12591,43388,51176,84374
