cut	41
Partition 0	3,54
Partition 1	1,25
Partition 2	2,22,56
Partition 3	47,61
Partition 4	14,29,33
Partition 5	10,26,52
Partition 6	4,12
Partition 7	35,51
Partition 8	18,19,31
Partition 9	0,38,57
Partition 10	41,46,67
Partition 11	21,39,43
Partition 12	60,68
Partition 13	44,50
Partition 14	8,37
Partition 15	45,32,55
Partition 16	5,20,30
Partition 17	48,42,64
Partition 18	15,24
Partition 19	7,49,66
Partition 20	36,58,63
Partition 21	16,23
Partition 22	17,40,53
Partition 23	9,11
Partition 24	6,34,65
Partition 25	59,62,69
Partition 26	13,27,28
