iteration	t
1	43,51,54,89,109,111,115,127,142,191,198,201,216,250,257,261,363,385,429,430,432,435,436,492,501,533,571,768,921,1092,1097,1108,1223,2907
2	25,29,35,40,52,58,66,70,76,82,86,87,97,125,149,151,193,239,243,253,607,1318,1413,3001,3118,3201,3375
3	69,76,85,88,105,203,204,215,226,234,247,310,921,2093,2769,2821,2839,3101,4678,4701,4734,4774,4811,4939,5098
4	44,48,55,61,64,83,94,103,114,115,116,128,162,169,195,782,956,1067,1096
5	1,15,29,53,63,72,132,148,152,164,202,210,220,460,656,669,783,811
6	30,4773
7	62,73,79,80,391,4140,4563,5082,7721,12994
8	9,72,78,1366,6682,6728,8656
9	3,10,369,626,9104
10	62,239,698,1134
