iteration	t
1	386,457,563,601,788,822,860,868,883,959,994,2636
2	998,1557,1585,1625,1631,1635,1639,1643,1648,1653,1690,1719,1731,1803,2328,6222
3	456,459,461,474,488,496,536,544,615,659,687,690,704,710,720,721,736,789,796,851,1201,1203
4	391,452,523,642,838,1488,1509,1515,1516,1543,1557,1642,1696,1735,2090,2168,2463
5	344,431,438,449,459,498,503,562,706,766,834,841,884,971,1146,1208,1617,1653,1655,1672,1860,1864,2637
6	46,69,80,92,200,235,403,483,1757
7	6,10,37,51,96,294,299,322,352,921,1436
8	17,77,81,664,5642
9	421,999,1129,1228,2823,3137,4793,4911,4916,4922,4926
10	399,430,617,624,3319,3335,3348,3372,3431,3470
