iteration	t
1	682,686,707,728
2	838,842,851,890,2604
3	1640,1646,1669,1852,1873,2945,2996
4	696,698,1798,1822,1929
5	185,245,265,292,321,566,575,582
6	537,549,6646
7	454,456,1941,5665,5671,5822,6853
8	4023,4033,4055,4117,4210,7672,8407,9766
9	1611,1633,1634,1639,1666,1850,1926
10	4886,4902,6214,8844
