cut	111
Partition 0	1,24,48
Partition 1	29,86,31
Partition 2	2,42,44,16
Partition 3	77,18,68
Partition 4	13,84,21,59
Partition 5	28,89,5,65
Partition 6	4,37,78
Partition 7	60,55,23
Partition 8	19,49,61,62
Partition 9	3,63,14
Partition 10	40,57,80,56
Partition 11	74,83,12
Partition 12	66,79,7,81
Partition 13	11,20,85
Partition 14	75,17,67
Partition 15	69,8,25
Partition 16	27,47,46
Partition 17	0,64,22
Partition 18	51,50,73,52
Partition 19	35,76,10,58
Partition 20	72,26,9
Partition 21	70,34,15,87
Partition 22	43,41,88
Partition 23	38,30,54,39
Partition 24	71,45,6,53
Partition 25	33,32,36,82
