iteration	t
1	15,39,72,81,121,139,148,160,193,209,225,241,256,296,386,423,478,564,691,877,898,1034,1102,1554,1755,1761,1886,2530,3775,4455,4886,5409,23535,32428,33376,34361,38353,55084,88021,246684
2	23,39,62,81,97,98,109,125,162,216,269,305,428,480,498,501,558,563,673,697,762,997,1088,1181,1397,1403,1499,1516,2055,2250,2706,2879,3105,3224,3742,4030,4672,4951,6648,8215,11104,11710,13275,123345
3	12,63,72,121,157,183,222,231,258,271,276,333,352,416,425,457,475,489,530,774,819,851,973,1166,1276,1324,1657,2138,2593,2790,3152,3437,3667,3770,3786,3954,4228,5667,6356,6653,11469,26819
4	13,32,63,70,111,172,179,252,284,297,346,423,426,476,624,644,868,1403,1437,1495,1554,2062,2311,2324,2369,2635,2976,3000,3539,3908,4397,4797,5830,6146,7480,8160,9932,10871,11023,11035,11151,12839,14781,15987,31138,87623
5	19,22,32,45,82,114,129,131,202,212,215,247,260,411,504,536,597,599,654,675,854,1308,1432,2123,2401,2466,2548,2814,3860,4428,4701,5109,5537,6734,6755,8357,8571,11069,26292,53405,60927
6	47,92,122,126,137,179,199,226,240,257,377,399,404,435,440,462,508,517,549,729,745,793,1066,1316,1395,1550,1678,1923,2182,2482,2638,2759,3351,3455,3900,4109,4131,4380,4558,5484,6514,10304,25833,25951,55544,57343,141258,141353,151679
7	38,46,51,59,96,102,186,196,233,359,404,576,659,672,754,764,835,854,890,953,1064,1129,1277,1282,1298,1423,1683,1986,2384,2508,2767,3594,5027,5192,5589,13576,13738,92204,117959,137705
8	27,36,46,60,109,112,133,153,214,250,292,319,353,393,407,443,450,470,549,753,780,848,872,889,1433,1548,1862,1949,2012,2225,2461,2568,2727,2792,2842,3487,3497,4163,4324,4345,5395,5830,18021,45196,91007,287760
9	2,46,53,64,67,90,97,134,164,168,187,238,268,305,318,386,474,586,1008,1069,1092,1386,1419,1549,1662,1718,2066,2255,2269,2492,2890,2907,2951,3086,3172,3354,4060,4477,4509,6701,6739,19434,20411
10	48,72,163,255,261,389,477,495,546,550,570,770,831,863,1014,1038,1123,1181,1228,1235,1237,1316,1343,1382,1540,1643,2974,2986,3436,3596,3662,5112,5299,5604,5734,6163,6490,7948,8198,9921,20278,68447,68630,68735,296289,306008
