iteration	t
1	7799,7883,8002,8017,8130,8356
2	1927,1945,2017,2039,2058,2257,3724
3	1269,1590,1673,1680,5911,5922,6406
4	903,950,1037,1292,1401,1406,1427,2062,2071,5573,5663
5	3438,3530,3792,3829,3831
6	249,285,324,329,490,501
7	6480,6524,6764,6852,7122,7159,8582
8	5607,5621,5741,5999,6053,6074,6551,6820,9342
9	262,413,571,788,808,1122,6714,7123
10	3431,3564,3634,3676,3687,3796,4100
11	1920,2114,2137,2164,2471
12	777,903,952,967,1225,1719,2084,2327,3762
13	964,1222,1308,1444,1579,1706,1964,1995,2094
14	1629,1702,1732,1884,2627,8476,8718,14035,14061
15	1907,2213,2374,2402,2523,3449,7778
