iteration	t
1	87,116,142,311,330,340,497,512,863,1010,1302,1313,1826,2352,3206,3539,3543,4175,11707,11862,11988,12629,15036,17646,25716,25731,27834,32148,88298,88735,88782,89631
2	114,182,422,631,827,874,934,1031,1640,1859,1941,2371,2889,3251,3700,4927,6230,6859,6894,12503,56466
3	413,498,591,596,636,644,1213,1363,1436,1500,1506,1913,1972,1979,2012,2610,3014,3168,3629,3727,4658,5411,5800,5864,6300,6314,7795,8284,8891,9000,9083,10410,12520,12942,12976,13288,82364,82403,83434,86521,86756
4	26,163,280,320,396,414,567,639,645,751,781,788,3513,4706,5302,5681,6345
5	11,30,74,316,949,1026,1055,1305,1320,1392,1410,1538,1795,1817,1874,1885,2118,2401,2482,2608,2925,4109,5615,6240,7771,9293,20735,21357,21381,21439,44807,44920,45098,45174,45208,46416,48143,48334
6	131,172,201,263,286,530,581,742,816,1286,1288,1458,1527,1561,1586,1818,2375,3304,3611,4940,5070,10799,10931,11808,12309,17753,37470,37695,38219,38559,42556,42719,43210,49328,53321
7	12,16,62,779,1534,1654,1711,3197,3307,3722,3775,4675,5126,5167,5316,5740,5965,7110,7167,7430,7437,7673,8005,8781,10269,79636,80077,80301,80312,80439,81258,83231,83301,84371
8	35,61,241,257,652,725,813,1397,1460,1499,1721,3655,3858,4350,4438,4541,4613,4965,5653,5667,7699,8326,8759,12432
9	28,96,143,531,549,645,668,851,949,1202,1272,1526,1635,3236,4888,5212,8405,10076,10470,11991,12277,15838,18560,18646,19008,19933,20149,20270,20857,21670,21886,22045,22757,22847,23944,30765
10	597,615,648,771,777,900,925,1012,1466,1534,1853,2025,2082,3741,3775,3779,4794,4823,4843,5600,5640,5856,7515,14292,18636,72870
