cut	107
Partition 0	81,22,55
Partition 1	61,62,59
Partition 2	60,58,57
Partition 3	30,28,87
Partition 4	25,27,26,29
Partition 5	64,63,65
Partition 6	20,23,24,67
Partition 7	69,68,70
Partition 8	74,85,66
Partition 9	86,83,84
Partition 10	77,76,75
Partition 11	79,80,78
Partition 12	0,89,88
Partition 13	1,2,4,3
Partition 14	11,12,13
Partition 15	73,17,71
Partition 16	14,15,16
Partition 17	36,35,34
Partition 18	31,32,33
Partition 19	39,72,38
Partition 20	43,42,41,40
Partition 21	19,18,21
Partition 22	5,7,6
Partition 23	8,9,10
Partition 24	49,48,56
Partition 25	46,45,47,82
Partition 26	54,44,53
Partition 27	52,37,50,51
