cut	56
Partition 0	3,22,54
Partition 1	36,75,39,74
Partition 2	5,52,26,81
Partition 3	8,28,25
Partition 4	7,38,71
Partition 5	18,43,51,55
Partition 6	40,88,0
Partition 7	27,76,80,79
Partition 8	1,85,69,29
Partition 9	89,19,15
Partition 10	12,24,41,46
Partition 11	17,86,58,64
Partition 12	13,73,59,68
Partition 13	21,47,62
Partition 14	2,20,35
Partition 15	50,10,63
Partition 16	6,37,83,60
Partition 17	11,34,45,70
Partition 18	9,48,30
Partition 19	4,44,82,57
Partition 20	66,49,87,67
Partition 21	72,16,31
Partition 22	23,77,14,84
Partition 23	32,65,61
Partition 24	53,33,42,78,56
