cut	59
Partition 0	3609,3608,3607
Partition 1	3523,3541,3606
Partition 2	3529,3590,3591,3592
Partition 3	3597,3555,3554
Partition 4	3525,3553,3604,3605
Partition 5	3524,3521,3527,3567
Partition 6	3551,3548,3552
Partition 7	3537,3536,3538,3531
Partition 8	3558,3559,3557,3556
Partition 9	3579,3580,3578,3528
Partition 10	3581,3576,3587
Partition 11	3522,3530,3585,3586
Partition 12	3584,3583,3577,3582
Partition 13	3535,3532,3533
Partition 14	3534,3596,3575,3574
Partition 15	3520,3549,3550,3563
Partition 16	3593,3594,3544
Partition 17	3602,3568,3595
Partition 18	3599,3598,3600,3601
Partition 19	3610,3611,3603
Partition 20	3613,3612,3589,3588
Partition 21	3526,3573,3572,3566
Partition 22	3542,3540,3545,3546
Partition 23	3562,3561,3560,3547
Partition 24	3539,3569,3570,3571
Partition 25	3543,3564,3565
