iteration	t
1	1808,1830,1832,1843,2035,3415
2	794,894,898,1029,1070,1099,1116,1314,1324,1362,1445,1504,1932,3245,6570,6649,6658,6817,7982
3	5276,5292,5300,5403,5536,5567,5613,5646,5651,5667,5695,6312,6356,6482,6603,6712,8832,8834,8874,8876,9606
4	176,181,285,796,998,1422,2871
5	777,2071,2157,4255,4271,5057,7428
6	71,76,1169,2111,8145
7	4,27,119,1999,4028
8	16,301,357,436,1531,2995,3407,4761,4780
9	103,125,503,528,530,2516,2704,4179,8856,8876,8884,8932,13970,14814,15839,16011,19206
10	10,96,123,159,460,991
