cut	23
Partition 0	66,45,52
Partition 1	51,5,50,11
Partition 2	6,23,28
Partition 3	10,43,60,71
Partition 4	78,27,33,70
Partition 5	26,54,30,53
Partition 6	0,47,9,79,69
Partition 7	75,74,4
Partition 8	2,1,3,77
Partition 9	8,7,14,35,37
Partition 10	42,17,31,32
Partition 11	29,46,20,62
Partition 12	48,56,57,76
Partition 13	65,64,63
Partition 14	16,41,36,58
Partition 15	22,38,49
Partition 16	19,13,15,68
Partition 17	21,44,67,59
Partition 18	40,39,72
Partition 19	73,12,61,34
Partition 20	55,18,25,24
