cut	38
Partition 0	3585,3565,3584,3564
Partition 1	3523,3550,3557,3558,3559
Partition 2	3551,3554,3526,3552,3553
Partition 3	3529,3560,3577,3578,3561
Partition 4	3533,3535,3524,3534
Partition 5	3536,3548,3547,3562,3563
Partition 6	3545,3546,3520,3544,3549
Partition 7	3530,3522,3573,3531
Partition 8	3525,3540,3537,3538,3539
Partition 9	3542,3527,3528,3532,3541
Partition 10	3566,3568,3571,3570
Partition 11	3521,3543,3583,3582,3581
Partition 12	3567,3569,3555,3556,3576
Partition 13	3572,3575,3580,3574,3579
