iteration	t
1	12,13,41,44,49,52,104,106,135,140,177,193,677,682,756,3453,3532
2	16,21,30,61,69,70,74,76,79,123,127,140,142,148,150,211,299,326,587
3	38,40,49,54,56,65,77,79,93,96,98,102,137,151,202,228,290,301,327,328,415,517,521,533,630,643,724,1221,1923,1958,2330,2420
4	42,78,84,89,100,124,174,278,289,554,560,605,786,817,825,828,830,863,1529,4522,4594
5	56,59,61,64,66,72,85,153,211,268,317,318,333,367,412,426,1836,1925,2072,2126,4975
6	138,151,1124,4625,4634,4637
7	29,62,99,118,138,142,258,319,1582,1661,5329
8	22,30,127,973
9	6,18,678,1109,2715
10	7,14,30,34,650,657,1835,2126,2952,2971
