cut	108
Partition 0	40,55,61
Partition 1	48,62
Partition 2	21,12,13
Partition 3	19,53,77
Partition 4	31,30,27
Partition 5	0,22,45
Partition 6	41,37
Partition 7	73,74,65
Partition 8	57,11,63
Partition 9	72,17,18
Partition 10	3,44,68
Partition 11	69,50,15
Partition 12	71,59,39,47
Partition 13	28,9
Partition 14	36,4,2
Partition 15	5,8,26
Partition 16	24,25,23
Partition 17	54,6,14
Partition 18	51,52,49
Partition 19	20,66,34,42
Partition 20	60,43,38
Partition 21	79,1,32
Partition 22	16,58,29
Partition 23	46,75,33
Partition 24	35,7,67
Partition 25	76,78,70
Partition 26	56,64,10
