cut	33
Partition 0	2,8,19
Partition 1	4,13,17
Partition 2	0,38,60
Partition 3	5,24
Partition 4	9,46,53
Partition 5	43,65,48
Partition 6	23,33
Partition 7	10,39
Partition 8	32,45,52,59
Partition 9	21,34,41
Partition 10	3,25,37
Partition 11	42,51,56
Partition 12	22,68
Partition 13	47,50,67
Partition 14	7,20,31
Partition 15	16,69
Partition 16	27,49,54
Partition 17	1,6,55
Partition 18	14,62,64
Partition 19	15,30
Partition 20	11,26,35,58
Partition 21	18,29,66,44
Partition 22	12,36,40
Partition 23	28,57,61,63
