cut	57
Partition 0	3575,3547,3574,3573
Partition 1	3618,3617,3599,3616
Partition 2	3602,3601,3600,3520
Partition 3	3578,3606,3603,3607
Partition 4	3610,3611,3612,3614,3615
Partition 5	3529,3541,3542,3543
Partition 6	3608,3609,3605,3613
Partition 7	3525,3548,3551,3552,3549,3550
Partition 8	3564,3569,3568,3570
Partition 9	3582,3604,3524,3583
Partition 10	3561,3562,3572,3571
Partition 11	3590,3595,3596,3594
Partition 12	3556,3587,3588,3589
Partition 13	3537,3538,3539,3563
Partition 14	3585,3586,3598,3597
Partition 15	3579,3535,3576,3577
Partition 16	3540,3536,3593,3592,3591
Partition 17	3553,3581,3580,3584
Partition 18	3557,3558,3522,3555
Partition 19	3554,3534,3560,3559,3521
Partition 20	3527,3526,3528,3567
Partition 21	3533,3530,3532,3531
Partition 22	3523,3566,3565,3544,3546,3545
