cut	38
Partition 0	0,38,46,66
Partition 1	33,49,79
Partition 2	54,16,56,69
Partition 3	1,22,4,21
Partition 4	50,10,51
Partition 5	7,32,76,41
Partition 6	5,70,40
Partition 7	2,24,58,71
Partition 8	34,43,45
Partition 9	14,15,35,68,77
Partition 10	55,53,65,59
Partition 11	9,36,47,52
Partition 12	60,62,67,64
Partition 13	13,25,29,39
Partition 14	28,30,37
Partition 15	11,23,26
Partition 16	27,42,57
Partition 17	18,19,20
Partition 18	6,48,73,75
Partition 19	3,44,61,72
Partition 20	17,78,12
Partition 21	8,31,63,74
