cut	105
Partition 1	2129,2068
Partition 2	2130,2139
Partition 3	2138,2140
Partition 4	2066,2131,2132
Partition 5	2142,2143
Partition 6	2076
Partition 7	2133,2135,2134,2136,2137
Partition 8	2104,2105
Partition 9	2097,2098,2144,2094,2095
Partition 10	2153,2152
Partition 11	2141,2149,2150,2151
Partition 12	2099,2100
Partition 13	2146,2147,2145,2148
Partition 14	2093,2107,2106
Partition 15	2069,2111
Partition 16	2087,2109,2108
Partition 17	2063
Partition 18	2088,2089
Partition 19	2082,2083,2062
Partition 20	2090,2092
Partition 21	2078,2091
Partition 22	2102,2103,2101
Partition 23	2077,2067
Partition 24	2096,2075
Partition 25	2065,2079
Partition 26	2080,2081,2085,2084,2086
Partition 27	2064,2125
Partition 28	2126,2182
Partition 29	2180,2181
Partition 30	2112,2113,2110
Partition 31	2116,2117
Partition 32	2118,2073,2119
Partition 33	2121,2122
Partition 34	2186,2195
Partition 35	2185,2199,2200,2183,2184
Partition 36	2124,2123
Partition 37	2196,2194
Partition 38	2197,2198
Partition 39	2187,2189,2188
Partition 40	2192,2191,2193,2190
Partition 41	2120,2179
Partition 42	2170,2172
Partition 43	2174,2177
Partition 44	2114,2071,2115
Partition 45	2127
Partition 46	2167,2168,2171
Partition 47	2128,2176,2173,2175,2178
Partition 48	2072,2156,2074
Partition 49	2158,2157,2160
Partition 50	2070,2161,2163
Partition 51	2164,2166
Partition 52	2162,2165
Partition 53	2155,2159
Partition 54	2169
Partition 55	2154
