path	2
T	13
cut	47
Partition 0	18,44,81,17,76,47,53,61,70
Partition 1	15,16,59,14,42,43,73,46,78
Partition 2	11,52,64,33,22,41,38,74
Partition 3	0,8,37,19,60,23,27,13,40,88
Partition 4	79,71,69,83
Partition 5	65,49,63,51,25,77,86
Partition 6	67,32,34,35,36,39
Partition 7	7,85,31,84,80,89
Partition 8	1,3,10,55,87,28
Partition 9	9,54,12,72,50,58
Partition 10	4,82,5,6,2,48,20,30,68
Partition 12	62
Partition 14	21,45
Partition 16	26,29
Partition 17	56
Partition 18	66,24
Partition 19	75
Partition 22	57
