cut	110
Partition 0	1226,1227,1228
Partition 1	1218,1219,1223
Partition 2	1157,1139,1140
Partition 3	1217,1229,1230
Partition 4	1212,1213,1158
Partition 5	1201,1224,1225
Partition 6	1160,1167,1168
Partition 7	1159,1155,1156
Partition 8	1202,1204,1205,1203
Partition 9	1232,1210,1231
Partition 10	1207,1209,1208,1206
Partition 11	1172,1173,1179
Partition 12	1177,1180,1178
Partition 13	1181,1191,1192
Partition 14	1132,1133,1136
Partition 15	1085,1093,1094,1171
Partition 16	1175,1122,1174
Partition 17	1123,1131,1137,1138
Partition 18	1128,1129,1130
Partition 19	1125,1126,1086
Partition 20	1154,1169,1170
Partition 21	1151,1153,1152
Partition 22	1124,1150,1148,1149
Partition 23	1117,1165,1163
Partition 24	1116,1164,1188
Partition 25	1142,1143,1144,1147
Partition 26	1182,1183,1184
Partition 27	1185,1189,1190
Partition 28	1118,1121,1119,1120
Partition 29	1109,1110,1113
Partition 30	1161,1162,1200
Partition 31	1141,1088,1099
Partition 32	1106,1107,1108,1105
Partition 33	1176,1087,1127
Partition 34	1102,1104,1103
Partition 35	1100,1221,1091
Partition 36	1101,1220,1222
Partition 37	1089,1114,1115,1166
Partition 38	1211,1215,1216
Partition 39	1097,1214,1098
Partition 40	1090,1134,1135
Partition 41	1193,1196,1197
Partition 42	1195,1198,1194,1199
Partition 43	1234,1186,1187,1233
Partition 44	1096,1111,1112
Partition 45	1145,1095,1092,1146
