iteration	t
1	3884,3914,3949,4171,4370,4591,4662,4874,5575,5639,5764,5865,6108,6214,6277,7097,7712
2	3674,3675,3678,3683,3690,3694,3777,3809,4021,4098,4117,4119,4168,4302,4390,4394,4515,4550,4640,4672,4687,4739,4755,4760,4804,4870,5582
3	888,891,902,906,917,925,933,936,986,987,1040,1051,1066,1068,1072,1077,1080,1087,1097,1103,1107,1180,1186,1199,1245,1331,1347,1360,1361,1402,1594,1697,1806,1931,1935,1995,2032,2346,2369,4857,5966
4	
5	5189,5191,5193,5198,5222,5241,5330,5334,5338,5357,5379,7157,7169,7177,7186,7192,7204,7219,7249,7251,7308,7381,7401,7436,7445,7455,7502,7548,7622,7675,8949
6	2,7,150,455,737,758
7	23,399,402,491,870,1087,1116,2372,11696,11707
8	42,1299,3437,4192
9	39,1279,3791
10	13,32,708,780,786,855
