Start cell number	Iteration	End cell number	Gate Number Per Cell	Gate Number Distribution
47	1	53	1,2,3,4,5	5,25,12,7,4
47	2	51	1,2,3,4,5	5,22,11,8,5
47	3	52	1,2,3,4,5	4,23,16,4,5
47	4	53	1,2,3,4,5	5,23,17,3,5
47	5	53	1,2,3,4,5	5,23,15,7,3
48	1	53	1,2,3,4,5	5,23,16,5,4
48	2	55	1,2,3,4,5	5,29,12,5,4
48	3	54	1,2,3,4,5	5,25,15,6,3
48	4	55	1,2,3,4,5	5,29,12,5,4
48	5	56	1,2,3,4,5	5,29,15,4,3
49	1	55	1,2,3,4,5	5,26,17,4,3
49	2	56	1,2,3,4,5	5,29,14,6,2
49	3	54	1,2,3,4,5	5,23,18,6,2
49	4	56	1,2,3,4,5	5,31,12,4,4
49	5	55	1,2,3,4,5	5,29,11,7,3
50	1	54	1,2,3,4,5	5,27,11,8,3
50	2	54	1,2,3,4,5	5,25,15,6,3
50	3	54	1,2,3,4,5	5,26,13,7,3
50	4	55	1,2,3,4,5	5,28,14,4,4
50	5	53	1,2,3,4,5	5,25,12,7,4
51	1	53	1,2,3,4,5	5,24,16,2,6
51	2	52	1,2,3,4,5	5,21,18,2,6
51	3	54	1,2,3,4,5	5,23,19,4,3
51	4	54	1,2,3,4,5	5,23,18,6,2
51	5	55	1,2,3,4,5	5,25,18,5,2
52	1	56	1,2,3,4,5	5,27,18,4,2
52	2	54	1,2,3,4,5	5,20,25,1,3
52	3	54	1,2,3,4,5	5,21,22,4,2
52	4	53	1,2,3,4,5	5,22,18,4,4
52	5	54	1,2,3,4,5	5,23,18,6,2
53	1	55	1,2,3,4,5	5,27,17,1,5
53	2	58	1,2,3,4,5	5,32,15,5,1
53	3	56	1,2,3,4,5	5,30,13,5,3
53	4	58	1,2,3,4,5	5,33,14,4,2
53	5	57	1,2,3,4,5	5,30,17,2,3
54	1	58	1,2,3,4,5	5,35,12,2,4
54	2	56	1,2,3,4,5	5,29,15,4,3
54	3	57	1,2,3,4,5	5,32,12,6,2
54	4	57	1,2,3,4,5	5,32,12,6,2
54	5	57	1,2,3,4	5,29,16,7
55	1	58	1,2,3,4,5	5,32,16,3,2
55	2	57	1,2,3,4,5	5,32,13,4,3
55	3	57	1,2,3,4,5	5,30,16,4,2
55	4	57	1,2,3,4,5	5,33,11,5,3
55	5	57	1,2,3,4,5	5,30,17,2,3
56	1	58	1,2,3,4,5	5,33,13,6,1
56	2	57	1,2,3,4,5	5,31,13,7,1
56	3	57	1,2,3,4	5,28,18,6
56	4	55	1,2,3,4,5	5,23,22,3,2
56	5	57	1,2,3,4,5	5,31,14,5,2
57	1	58	1,2,3,4,5	5,32,16,3,2
57	2	58	1,2,3,4	5,31,16,6
57	3	58	1,2,3,4,5	5,33,14,4,2
57	4	61	1,2,3,4	5,37,16,3
57	5	60	1,2,3,4,5	5,34,19,1,1
58	1	57	1,2,3,4,5	5,27,21,3,1
58	2	59	1,2,3,4,5	5,36,12,4,2
58	3	57	1,2,3,4,5	5,31,14,5,2
58	4	55	1,2,3,4,5	5,28,13,6,3
58	5	58	1,2,3,4,5	5,31,17,4,1
59	1	58	1,2,3,4,5	5,32,17,1,3
59	2	55	1,2,3,4,5	5,29,13,3,5
59	3	57	1,2,3,4,5	5,31,16,1,4
59	4	58	1,2,3,4,5	5,34,12,5,2
59	5	59	1,2,3,4,5	5,36,13,2,3
60	1	59	1,2,3,4,5	5,35,14,3,2
60	2	60	1,2,3,4,5	5,37,14,2,2
60	3	59	1,2,3,4,5	5,33,18,1,2
60	4	58	1,2,3,4,5	5,33,15,2,3
60	5	59	1,2,3,4,5	5,34,15,4,1
