Cell number	Iteration	End Cell Number	Median QS Per Cell	Number of Cells with >=3 QS	Fraction of Cells with >=3 QS	Network Depth
47	1	53	3.11	17	0.32	17
47	2	51	3.27	18	0.35	27
47	3	52	3.29	20	0.38	17
47	4	53	3.25	19	0.36	27
47	5	53	3.36	20	0.38	22
48	1	53	3.17	18	0.34	31
48	2	55	3.18	17	0.31	20
48	3	54	3.22	21	0.39	17
48	4	55	3.13	17	0.31	32
48	5	56	3.12	18	0.32	25
49	1	55	3.15	19	0.35	26
49	2	56	3.09	19	0.34	31
49	3	54	3.11	18	0.33	19
49	4	56	3.16	19	0.34	18
49	5	55	3.13	23	0.42	18
50	1	54	3.02	16	0.3	19
50	2	54	3.09	17	0.31	16
50	3	54	3.06	18	0.33	19
50	4	55	3.11	16	0.29	18
50	5	53	3.09	16	0.3	17
51	1	53	3.19	22	0.42	17
51	2	52	3.1	19	0.37	23
51	3	54	3.09	19	0.35	16
51	4	54	3.17	19	0.35	19
51	5	55	3.04	19	0.35	28
52	1	56	3.07	22	0.39	27
52	2	54	3.13	22	0.41	17
52	3	54	3.17	20	0.37	25
52	4	53	3.23	20	0.38	17
52	5	54	3.07	18	0.33	18
53	1	55	3.13	20	0.36	23
53	2	58	3.09	17	0.29	20
53	3	56	3.11	19	0.34	16
53	4	58	3.12	16	0.28	32
53	5	57	3.12	16	0.28	20
54	1	58	3.14	17	0.29	19
54	2	56	3.09	18	0.32	27
54	3	57	3.07	14	0.25	20
54	4	57	3.07	18	0.32	17
54	5	57	3.02	15	0.26	26
55	1	58	3.09	18	0.31	18
55	2	57	3.14	19	0.33	31
55	3	57	3.14	18	0.32	18
55	4	57	3.07	19	0.33	19
55	5	57	3.18	20	0.35	21
56	1	58	3.0	17	0.29	17
56	2	57	3.02	19	0.33	20
56	3	57	3.11	19	0.33	16
56	4	55	3.07	19	0.35	19
56	5	57	3.09	21	0.37	18
57	1	58	3.05	17	0.29	18
57	2	58	2.98	17	0.29	28
57	3	58	3.07	16	0.28	30
57	4	61	3.11	19	0.31	27
57	5	60	2.98	17	0.28	18
58	1	57	3.04	18	0.32	17
58	2	59	3.05	19	0.32	17
58	3	57	2.98	18	0.32	16
58	4	55	3.05	15	0.27	15
58	5	58	3.05	18	0.31	27
59	1	58	3.1	17	0.29	18
59	2	55	3.02	17	0.31	19
59	3	57	3.09	19	0.33	20
59	4	58	3.05	18	0.31	27
59	5	59	3.07	17	0.29	21
60	1	59	3.0	19	0.32	19
60	2	60	3.02	17	0.28	20
60	3	59	3.0	20	0.34	17
60	4	58	2.98	19	0.33	29
60	5	59	3.07	19	0.32	28
