cut	108
Partition 1	2066
Partition 2	2131,2132
Partition 3	2133,2135,2134,2136
Partition 4	2129,2068
Partition 5	2142,2076
Partition 6	2130,2138,2139,2140
Partition 7	2146,2147
Partition 8	2145,2148
Partition 9	2141,2149,2150
Partition 10	2151,2152
Partition 11	2094,2095
Partition 12	2143,2144
Partition 13	2098,2104,2105
Partition 14	2069,2111
Partition 15	2110
Partition 16	2087,2109
Partition 17	2082,2083
Partition 18	2093,2107,2108,2106
Partition 19	2062
Partition 20	2063,2088,2099,2089,2100
Partition 21	2065,2079
Partition 22	2080,2081,2085,2084,2086
Partition 23	2096,2097,2075
Partition 24	2090,2092
Partition 25	2078,2091
Partition 26	2102,2103,2101
Partition 27	2077,2067
Partition 28	2185,2186
Partition 29	2124,2183
Partition 30	2199,2200,2184
Partition 31	2196,2194
Partition 32	2195,2197,2198
Partition 33	2192,2193
Partition 34	2191,2190
Partition 35	2118,2073,2119,2180
Partition 36	2121,2122
Partition 37	2116,2117
Partition 38	2064,2125,2126
Partition 39	2188,2123
Partition 40	2187,2189,2182,2181
Partition 41	2120,2179
Partition 42	2170
Partition 43	2164,2166
Partition 44	2070,2163
Partition 45	2161,2162,2165
Partition 46	2155,2159
Partition 47	2074
Partition 48	2158,2157,2160
Partition 49	2127,2128
Partition 50	2114,2071,2115
Partition 51	2112,2113
Partition 52	2174,2175,2172
Partition 53	2169,2154
Partition 54	2167,2168,2176,2178,2171
Partition 55	2173,2177
Partition 56	2137,2153
Partition 57	2072,2156
