cut	49
Partition 0	2,5,71,34,50
Partition 1	26,48,52,72,69
Partition 2	20,46,35,75
Partition 3	3,17,21,38,91
Partition 4	18,6,22,37
Partition 5	36,56,63,79
Partition 6	4,25,49,58,67
Partition 7	28,83,87,68,86
Partition 8	54,76,89,98
Partition 9	29,33,51,61
Partition 10	70,78,66,84,96
Partition 11	8,40,88,27
Partition 12	7,42,59,99
Partition 13	24,11,32,39,73
Partition 14	9,15,30,43
Partition 15	31,53,60,80,85
Partition 16	14,16,57,23
Partition 17	0,12,19,65,92,64
Partition 18	13,55,74,81,77
Partition 19	45,62,95,97
Partition 20	10,47,82,90
Partition 21	1,41,44,93,94
