iteration	t
1	1,84,110,113,115,153,176,186,223,239,261,290,312,328,338,414,418,422,449,468,474,476,529,563,586,675,745,928,957,1235,1465,1476,1659,1844,2000,2046,2049,2295,2396,2477,2538,2627,2708,10118,79329,257426
2	1,51,86,93,121,137,140,150,163,170,187,193,208,215,225,244,294,345,367,379,533,614,627,650,801,994,1144,1275,1303,1367,1396,1659,1712,1742,1874,1977,1989,9120,9656,11154,14283,15782,112425
3	8,47,119,131,153,160,180,188,192,218,226,266,294,346,347,350,363,455,478,496,535,548,563,629,760,779,944,950,1005,1120,1185,1298,1422,1458,1553,1608,1649,1658,1766,2116,2219,2637,4530,5899,6297,7729,68322,325230
4	13,16,18,21,24,50,51,68,76,144,163,201,205,227,261,264,311,312,384,434,455,470,648,736,783,827,956,1195,1284,1307,1804,1944,2060,2138,3097,3691,4028,4588,6249,7058,18258,22749,54371,95951,96147,115127
5	39,56,76,85,91,97,132,188,230,301,308,336,410,413,414,488,531,686,806,828,854,921,944,1001,1047,1264,1281,1282,1300,1548,1568,1752,1796,2255,4079,4554,4633,4730,33026,201506
6	6,12,28,31,70,78,93,157,171,174,176,180,186,191,264,275,284,297,365,429,519,589,619,660,668,882,884,934,1042,1113,1237,1407,2422,2473,2779,3320,3854,4658,6110,6975,7227,11410,12762,12953,36966,99340,105677,149221,218671,262092
7	5,6,23,29,62,81,82,140,172,192,195,211,313,341,353,430,478,496,507,549,602,734,819,840,843,848,862,1002,1154,1204,1243,1403,1433,1601,1852,2150,3220,3856,4091,6187,8467,8818,9426,18140,433517
8	1,19,46,75,89,117,226,238,276,302,330,342,377,420,490,717,730,988,1062,1127,1215,1216,1457,1611,1781,1832,1917,2011,2317,2427,3174,3381,3480,3745,5177,7232,12260,12925,31589,41310,44950,69521,88501,305468
9	2,8,89,92,94,115,141,166,168,247,313,321,360,364,422,489,586,596,772,797,846,852,889,930,947,1142,1204,1453,1618,1681,1751,1969,1988,2026,2118,2337,2369,2701,3234,3599,4222,7614,10764,15400,22058,54162,55311,57110
10	29,30,43,61,85,147,209,212,335,341,363,396,403,470,489,527,543,544,567,622,629,927,935,1079,1146,1192,1198,1288,1450,1525,1601,1669,1674,1800,1963,1983,2255,2829,3071,3514,5441,8074,9332
