iteration	t
1	54,75,96,164,227,253,259,269,301,307,311,345,545,618,644,852,1008,1034,1061,1121,1125,1377,1698,1733,1837,1973,2043,2084,2360,2412,2448,2487,2560,3458,3681,5685,9087,55176,75851
2	10,57,106,147,193,199,202,249,396,561,600,634,675,676,698,730,768,810,846,1004,1046,1250,1752,1863,1910,2050,2488,2720,3046,4202,5556,5612,11393,16831
3	15,56,123,137,143,174,220,270,390,422,469,509,512,531,541,838,906,1085,1102,1208,1253,1359,1446,1751,2335,3213,4028,4268,4895,5492,6703,9126,10466,27461,37345,39653,62105,209222
4	18,37,58,74,83,85,86,115,305,356,370,437,472,509,620,656,730,731,824,961,1013,1114,1135,1250,1358,1484,1629,1704,1814,2021,2214,2517,2989,3400,4945,5726,7677,8308,8596,23317
5	7,61,82,95,137,146,150,159,247,292,331,364,385,436,467,472,626,783,808,906,1068,1278,1363,2023,2108,2238,2412,2825,2848,3015,3560,3690,3786,4435,6716,8246,12468,17308,373823
6	32,37,66,125,185,256,300,354,558,564,572,589,597,638,712,778,938,1068,1077,1098,1145,1287,1288,1371,2002,2021,2375,2564,3003,3006,3161,3247,3664,4305,5035,5572,8059,46611,68568
7	7,28,66,71,135,147,154,181,186,219,257,313,344,479,496,578,709,730,947,1219,1387,1544,1838,1935,2053,2109,2563,3170,4523,6716,16157,83854,91223,93576
8	15,16,25,31,58,101,122,136,207,281,333,355,366,564,583,602,607,718,720,978,1081,1188,1232,1278,1336,1752,1954,2055,2101,2139,2413,2778,5088,7212,7962,9459,35286,107152,113560,239769,241093
9	75,96,113,146,151,157,220,278,279,280,283,307,375,440,450,520,593,721,804,982,1183,1450,1476,1484,1576,1790,1963,2680,2723,3146,3895,4050,4572,5217,13910,31761,36263,89434
10	61,62,66,121,124,146,160,279,315,575,643,672,673,703,725,788,825,915,941,1097,1134,1145,1275,1349,1523,1920,1967,2123,2140,2227,3000,3935,4527,4957,5195,10238,10680,11031,14676,19341,26541
