iteration	t
1	105,111,114,122,131,132,134,201,217,240,241,309,824,879,884
2	293,302,309,315,374,394,428,430,445,462,490,504,587,626,627,649,661,759,1298,5372,5570,5674,5721,6507,6508,6542,6548,6649,6875,6944
3	60,67,84,90,91,93,94,136,184,322,1270,1630,2743,2773,4149,4162,4187,4224,6635,6636,6638,6645,6674,6713,6814,6833,6921,7338,7950,8964,9050,9142,9171
4	274,296,306,314,326,354,371,387,411,416,421,423,426,452,476,484,497,515,539,597,606,608,619,627,658,660,683,735,931,1223,1229,1234,1362,1425,1427,1429,1790,1805,1823,1828,1903,1935,1944,1983
5	316,322,335,367,372,388,408,498,631,655,1351,1432,2001,2621,2888,2935,2992,5314,8399,8673
6	73,103,371,382,755,2207,2209
7	67,214,2575,3686
8	37,88,184,2663
9	106,116,286,494,966,1004,7305,7402,10703,10720
10	9,32,138,217,231,232,1154,1548,1559,3386
11	22,68,72,74,79,83,645
