cut	35
Partition 0	23,22,24
Partition 1	28,25,27
Partition 2	94,95,26
Partition 3	1,76,31
Partition 4	0,99,98,32
Partition 5	45,49,48
Partition 6	37,38,47,46
Partition 7	21,36,35
Partition 8	19,18,20
Partition 9	97,91,55
Partition 10	89,88,87,86
Partition 11	29,30,39,85
Partition 12	83,82,77
Partition 13	34,33,54,84
Partition 14	92,7,42
Partition 15	40,41,63,62
Partition 16	8,70,71
Partition 17	72,64,65
Partition 18	9,17,96,58
Partition 19	16,15,66
Partition 20	3,4,5,56
Partition 21	6,74,10,73
Partition 22	80,2,52
Partition 23	53,79,78
Partition 24	60,50,51
Partition 25	57,90,59
Partition 26	44,75,61
Partition 27	43,93,69
Partition 28	11,12,13,81
Partition 29	14,68,67
