iteration	t
1	23,107,137,152,193,196,207,215,258,537,562,604,644,678,720,758,774,824,858,1048,1302,1394,1397,1592,1646,1711,2776,3796,4127,4432,4463,5680,8232,8339,11412,14331
2	60,163,166,190,216,221,324,339,424,495,521,570,574,779,1151,1332,1382,1463,1498,1537,1794,1869,2111,2621,3854,6464,9701,11586,28359,28365,312569,312930
3	17,76,131,133,177,193,323,416,423,474,599,762,938,1034,1038,1049,1387,1429,1558,1605,2191,3310,4144,4226,4320,5136,5145,5158,5375,5838,16709,23350,75932,270166
4	66,73,149,186,227,342,375,585,666,715,726,761,787,1006,1010,1123,1192,1203,1609,1709,1998,2478,2960,2987,3433,4669,9646,9895,10235,11190,11578,14025,29436,101849,317208
5	3,23,48,128,183,440,458,566,672,697,772,932,1058,1437,1951,2195,3180,3384,3573,3837,3943,4032,6376,10066,13669,49881,50513,103190,315028,379482
6	99,139,235,264,296,355,371,567,605,842,861,916,960,1138,1729,1860,1956,2082,2083,2949,2993,3346,3569,3788,4425,4869,5220,5402,5877,6463,7882,10196,13064,14118,114635
7	1,13,21,28,78,116,173,174,306,351,391,543,599,619,637,757,840,932,982,1048,1313,1482,1810,2718,2891,3833,4118,4908,8177,8431,46026,47990,79442,80634
8	25,95,116,137,303,422,429,463,597,602,655,661,895,1027,1118,1161,1250,1611,1706,1707,2206,2248,2273,2526,2752,3122,3739,3921,4081,4191,5723,6518,6908,6932,10432,11004,20168,322721,324278
9	66,71,95,148,228,233,234,327,409,570,742,768,846,847,869,988,1029,1060,1097,1381,1497,1807,2016,2075,2488,2879,2923,3728,3921,4276,6337,10238,15785,18116,449827
10	4,24,42,79,169,176,194,235,298,338,392,397,446,521,543,548,571,617,807,915,979,1058,1174,1306,3013,4126,5115,5418,6682,7068,10768,10985,29873,53272,481692
