cut	37
Partition 0	3537,3536,3538
Partition 1	3532,3541,3522,3540
Partition 2	3531,3520,3579,3539
Partition 3	3524,3577,3568,3578
Partition 4	3528,3534,3535,3545
Partition 5	3527,3533,3529,3530
Partition 6	3585,3584,3546,3583
Partition 7	3526,3542,3543,3544
Partition 8	3573,3580,3581
Partition 9	3565,3564,3566,3582
Partition 10	3551,3552,3553,3554
Partition 11	3547,3549,3574,3550
Partition 12	3572,3571,3525,3559
Partition 13	3560,3561,3562,3563
Partition 14	3523,3548,3570,3569
Partition 15	3556,3557,3555,3558
Partition 16	3575,3576,3567,3521
