cut	110
Partition 0	64,63,62
Partition 1	25,55,54
Partition 2	50,52,53,51
Partition 3	99,98,97
Partition 4	96,48,94,95
Partition 5	0,1,83,56
Partition 6	77,75,65,46
Partition 7	67,68,66
Partition 8	84,74,73
Partition 9	72,69,70,71
Partition 10	18,17,19
Partition 11	7,15,9,93
Partition 12	16,14,76
Partition 13	13,10,11,12
Partition 14	49,40,47
Partition 15	39,37,38
Partition 16	35,34,36
Partition 17	23,24,26
Partition 18	22,20,21
Partition 19	82,29,28
Partition 20	27,30,31,33,32
Partition 21	78,79,80
Partition 22	42,43,45,44
Partition 23	3,4,5,6
Partition 24	2,81,41
Partition 25	61,59,60
Partition 26	58,8,57
Partition 27	91,92,90,89
Partition 28	85,87,88,86
