Npart	Sol	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
7	1	27	lc	True	True	False	True	4	3	11	11
7	3	27	lc	True	True	False	True	4	3	11	11
7	5	27	lc	True	True	False	True	4	3	11	11
7	7	27	lc	True	True	False	True	4	3	11	11
7	10	27	lc	True	True	False	True	4	3	11	11
6	0	27	lc	True	True	True	True	3	3	8	8
6	1	27	lc	True	True	True	True	3	3	8	8
6	2	27	lc	True	True	True	True	3	3	8	8
6	4	27	lc	True	True	True	True	3	3	8	8
6	5	27	lc	True	True	True	True	3	3	8	8
6	6	27	lc	True	True	True	True	3	3	8	8
6	7	27	lc	True	True	True	True	3	3	8	8
4	0	27	lc	True	True	True	True	2	2	6	6
4	1	27	lc	True	True	True	True	2	2	6	6
4	2	27	lc	True	True	True	True	2	2	6	6
4	3	27	lc	True	True	True	True	2	2	6	6
4	4	27	lc	True	True	True	True	2	2	6	6
4	5	27	lc	True	True	True	True	2	2	6	6
4	8	27	lc	True	True	True	True	2	2	6	6
4	9	27	lc	True	True	True	True	2	2	6	6
5	0	27	lc	True	True	True	True	2	2	7	7
5	1	27	lc	True	True	True	True	2	2	7	7
5	2	27	lc	True	True	True	True	2	2	7	7
5	3	27	lc	True	True	True	True	2	2	7	7
5	4	27	lc	True	True	True	True	2	2	7	7
5	5	27	lc	True	True	True	True	2	2	7	7
5	6	27	lc	True	True	True	True	2	2	7	7
5	7	27	lc	True	True	True	True	2	2	7	7
5	8	27	lc	True	True	True	True	2	2	7	7
5	9	27	lc	True	True	True	True	2	2	7	7
5	10	27	lc	True	True	True	True	2	2	7	7
