cut	123
Partition 0	2192,2193,2194
Partition 1	2191,2189,2190
Partition 2	s_i[1],2064,2187
Partition 3	2124,2183,2123,2182
Partition 4	2125,s_i[0],2126,2188
Partition 5	2185,2186,2195
Partition 6	2198,a_o[0],2196,2197
Partition 7	2078,2075,2091
Partition 8	2200,a_o[1],2199,2184
Partition 9	b_i[1],2065,2096,2084,2081
Partition 10	2111,2087,2109
Partition 11	a_i[1],2069,2112,2110
Partition 12	2079,d_i[1],2067
Partition 13	2080,2085,2086
Partition 14	2077,2090,2102,c_i[1],2101
Partition 15	2107,2108,2106
Partition 16	2100,2103,2104
Partition 17	2097,2095,2098,2105
Partition 18	2092,2089,2093
Partition 19	2082,2088,2083,2062
Partition 20	round_i[1],2063,2094,2099,round_i[0]
Partition 21	2141,2149,2150
Partition 22	2143,2144,2151,2152
Partition 23	2165,2170,2172
Partition 24	2137,2153,2168,2171
Partition 25	2166,2154,2167,2169
Partition 26	b_i[0],2066,2131
Partition 27	2145,d_i[0],2068
Partition 28	2129,2146,2148,2147
Partition 29	2130,2139,2140
Partition 30	2142,2138,c_i[0],2076
Partition 31	2132,2135,2134,2136,2133
Partition 32	a_i[0],2070,2163
Partition 33	2162,2159,t_i[1],2073
Partition 34	2164,2161,2160
Partition 35	m_i[0],2072,2157,2156
Partition 36	2155,2158,t_i[0],2074
Partition 37	2121,2119,2122
Partition 38	2115,2117,2118
Partition 39	2113,m_i[1],2071,2116,2114
Partition 40	2120,2180,2179,2181
Partition 41	2128,2173,2175,2177
Partition 42	2127,2174,2176,2178
