iteration	t
1	7,12,66,142,144,174,245,256,300,312,471,507,592,844,903,998,1024,1047,1205,1298,1438,1486,1812,2006,2123,2233,2304,2426,2853,2952,3949,6110,21835,25400,66680
2	28,36,68,79,125,176,200,240,258,263,407,408,432,530,614,622,633,664,683,701,749,813,816,1412,1420,1517,1792,2328,2635,3657,4770,5677,6751,6806,9134,12330,118994,132691,143427
3	38,73,84,85,125,145,258,277,371,378,388,510,584,630,665,729,820,839,974,1149,1281,1312,1422,1897,1908,3076,3258,7069,7204,8736,23068,23454,49544,61366,64285,83078
4	12,26,35,40,66,86,107,121,149,209,272,329,388,529,539,548,619,700,749,792,941,968,972,1213,1309,1496,1505,2578,2591,2857,3162,3427,4260,4619,5265,5472,6004,6296,8623,9911,10154,21627,30888,135880
5	22,72,108,113,149,165,246,270,301,360,369,378,414,444,570,646,651,814,907,1187,1221,1278,1379,1391,1602,2087,2124,3900,3972,4083,5738,11110,11380,13006,21200,25285,27994,47153,86880,86896
6	60,83,90,126,154,194,243,283,378,407,457,634,658,702,709,802,811,853,906,977,1173,1717,1748,1774,1882,3253,3614,3893,4307,8829,9021,9140,15424,16111,16363,20183,33080,34947,41101
7	6,42,78,97,134,273,299,315,377,424,444,525,572,603,638,676,918,978,1037,1094,1178,1202,1247,1252,1600,1794,2099,2673,2724,3045,3142,3340,4429,4885,4975,8105,11260
8	19,44,54,59,64,93,100,105,119,155,160,229,295,343,370,428,556,563,804,908,1185,2209,2311,2316,2364,3502,3549,3588,4038,4046,4128,4169,5542,9780,12408,12595,128169
9	23,113,118,187,201,212,216,224,233,241,250,274,275,276,277,426,430,443,581,628,655,1026,1061,1136,1701,2051,2138,2604,2699,2887,2941,2995,3177,3830,4197,4254,4387,4522,6964
10	3,29,45,63,99,137,161,192,275,294,446,481,532,537,580,607,645,648,688,788,817,886,988,1002,1015,1090,1411,1415,1916,2215,2607,2621,2983,3174,6711,8262,20745
