cut	108
Partition 0	1100,1182,1091
Partition 1	1101,1104,1105
Partition 2	1221,1220,1222
Partition 3	1097,1214,1098,1215
Partition 4	1114,1115,1211,1166
Partition 5	1145,1146,1147
Partition 6	1102,1095,1111,1103
Partition 7	1089,1195,1092
Partition 8	1162,1200,1199
Partition 9	1193,1196,1198,1194,1197
Partition 10	1142,1143,1144
Partition 11	1139,1140,1161,1165
Partition 12	1109,1110,1088
Partition 13	1087,1106,1141,1107
Partition 14	1099,1108,1121,1120
Partition 15	1116,1117,1163
Partition 16	1090,1096,1134,1135
Partition 17	1112,1118,1113,1119
Partition 18	1234,1186,1233
Partition 19	1187,1164,1189,1188
Partition 20	1183,1184,1185,1190
Partition 21	1226,1227,1228
Partition 22	1218,1219,1223
Partition 23	1212,1157,1158
Partition 24	1232,1210,1231,1230
Partition 25	1213,1216,1217,1229
Partition 26	1154,1169,1170
Partition 27	1159,1160,1167,1168
Partition 28	1175,1122,1174
Partition 29	1094,1171,1225
Partition 30	1201,1202,1224,1155,1156
Partition 31	1085,1093,1132
Partition 32	1125,1126,1086,1129
Partition 33	1127,1128,1172
Partition 34	1173,1179,1180,1178
Partition 35	1176,1133,1177,1136
Partition 36	1181,1191,1192
Partition 37	1204,1130,1205,1203
Partition 38	1207,1209,1208,1206
Partition 39	1150,1148,1149
Partition 40	1151,1138,1153,1152
Partition 41	1123,1124,1131,1137
