targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
15	0	15	44	lc	True	True	True	True	5	5	20	20
15	1	15	44	lc	True	True	True	True	5	5	20	20
15	2	15	44	lc	True	True	True	True	5	5	20	20
15	3	15	44	lc	True	True	True	True	5	5	20	20
15	4	15	44	lc	True	True	True	True	5	5	20	20
15	5	15	44	lc	True	True	True	True	5	5	20	20
17	0	17	44	lc	True	True	True	True	6	6	23	23
17	1	17	44	lc	True	True	True	True	6	6	23	23
17	2	17	44	lc	True	True	True	True	6	6	23	23
17	3	17	44	lc	True	True	True	True	6	6	23	23
17	4	17	44	lc	True	True	True	True	6	6	23	23
17	5	17	44	lc	True	True	True	True	6	6	23	23
16	0	16	44	lc	True	True	True	True	5	5	21	21
16	1	16	44	lc	True	True	True	True	5	5	21	21
16	2	16	44	lc	True	True	True	True	5	5	21	21
16	3	16	44	lc	True	True	True	True	5	5	21	21
16	4	16	44	lc	True	True	True	True	5	5	21	21
16	5	16	44	lc	True	True	True	True	5	5	21	21
12	1	12	44	lc	False	True	True	True	4	4	17	17
12	5	12	44	lc	False	True	True	True	4	4	17	17
10	1	13	44	lc	False	True	True	True	4	4	16	16
14	1	14	44	lc	False	True	True	True	5	5	19	19
14	4	14	44	lc	False	True	True	True	5	5	19	19
14	5	14	44	lc	False	True	True	True	5	5	19	19
8	1	9	44	lc	False	True	False	True	4	6	13	14
8	3	9	44	lc	False	True	False	True	4	6	13	14
8	5	9	44	lc	False	True	False	True	4	6	13	14
11	2	12	44	lc	False	True	True	True	5	4	16	16
13	0	13	44	lc	True	True	True	True	5	5	19	19
13	1	13	44	lc	True	True	True	True	5	5	19	19
13	2	13	44	lc	True	True	True	True	5	5	19	19
13	3	13	44	lc	True	True	True	True	5	5	19	19
13	4	13	44	lc	True	True	True	True	5	5	19	19
13	5	13	44	lc	True	True	True	True	5	5	19	19
9	3	13	44	lc	False	True	False	True	5	12	17	22
