Motif matrix	Occur
((0.0, 0.0), (2.0, 0.0))	0.5110215053763443
((0.0, 0.0), (3.0, 0.0))	0.17500000000000007
((0.0, 0.0, 2.0), (0.0, 0.0, 2.0), (0.0, 0.0, 0.0))	0.05200716845878136
((0.0, 0.0, 0.0), (0.0, 0.0, 2.0), (2.0, 0.0, 0.0))	0.07301075268817206
((0.0, 0.0), (1.0, 0.0))	0.20989247311827955
((0.0, 0.0, 1.0), (0.0, 0.0, 1.0), (0.0, 0.0, 0.0))	0.04942652329749103
((0.0, 0.0, 0.0), (1.0, 0.0, 3.0), (1.0, 0.0, 0.0))	0.03075268817204301
((0.0, 0.0, 0.0), (3.0, 0.0, 0.0), (1.0, 1.0, 0.0))	0.009999999999999998
((0.0, 0.0, 0.0), (1.0, 0.0, 1.0), (2.0, 0.0, 0.0))	0.07942652329749106
((0.0, 0.0, 0.0), (1.0, 0.0, 1.0), (1.0, 0.0, 0.0))	0.20078853046595005
((0.0, 2.0, 0.0), (0.0, 0.0, 0.0), (2.0, 1.0, 0.0))	0.023584229390681003
((0.0, 0.0, 0.0), (2.0, 0.0, 0.0), (2.0, 2.0, 0.0))	0.06075268817204301
((0.0, 0.0, 1.0), (0.0, 0.0, 3.0), (0.0, 0.0, 0.0))	0.016666666666666666
((0.0, 0.0, 0.0), (1.0, 0.0, 2.0), (1.0, 0.0, 0.0))	0.08093189964157708
((0.0, 0.0, 0.0), (0.0, 0.0, 1.0), (2.0, 0.0, 0.0))	0.052759856630824366
((0.0, 0.0, 0.0), (0.0, 0.0, 2.0), (1.0, 0.0, 0.0))	0.017670250896057345
((0.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 0.0), (0.0, 1.0, 0.0, 0.0), (0.0, 1.0, 1.0, 0.0))	0.042258064516129026
((0.0, 1.0, 0.0, 0.0, 1.0), (0.0, 0.0, 1.0, 0.0, 1.0), (0.0, 0.0, 0.0, 1.0, 0.0), (0.0, 0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 1.0, 1.0, 0.0))	0.008451612903225807
((0.0, 0.0, 0.0), (2.0, 0.0, 0.0), (2.0, 1.0, 0.0))	0.040752688172043014
((0.0, 1.0, 0.0, 0.0), (0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 0.0, 2.0), (1.0, 1.0, 0.0, 0.0))	0.013064516129032259
((0.0, 0.0, 0.0), (1.0, 0.0, 0.0), (2.0, 2.0, 0.0))	0.027921146953405012
((0.0, 1.0, 0.0), (0.0, 0.0, 0.0), (1.0, 2.0, 0.0))	0.04584229390681003
((0.0, 0.0, 1.0, 0.0), (0.0, 0.0, 1.0, 0.0), (0.0, 0.0, 0.0, 0.0), (2.0, 1.0, 1.0, 0.0))	0.021505376344086027
((0.0, 0.0, 1.0, 2.0), (0.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 1.0, 0.0))	0.013440860215053765
((0.0, 0.0, 1.0, 1.0), (0.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 1.0, 0.0))	0.013440860215053765
((0.0, 2.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 0.0, 1.0), (0.0, 1.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 0.0, 1.0), (0.0, 0.0, 0.0, 0.0, 0.0))	0.0064516129032258064
((0.0, 0.0, 1.0, 0.0), (0.0, 0.0, 1.0, 0.0), (0.0, 0.0, 0.0, 0.0), (1.0, 1.0, 1.0, 0.0))	0.018817204301075273
((0.0, 0.0, 1.0, 1.0), (0.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 0.0), (0.0, 0.0, 2.0, 0.0))	0.010752688172043012
((0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (2.0, 1.0, 0.0))	0.04659498207885304
((0.0, 0.0, 0.0, 2.0), (0.0, 0.0, 0.0, 0.0), (0.0, 1.0, 0.0, 1.0), (0.0, 1.0, 0.0, 0.0))	0.008064516129032258
((0.0, 0.0, 0.0, 1.0), (0.0, 0.0, 0.0, 0.0), (0.0, 1.0, 0.0, 1.0), (0.0, 2.0, 0.0, 0.0))	0.008064516129032258
((0.0, 0.0, 0.0, 1.0), (1.0, 0.0, 1.0, 1.0), (0.0, 0.0, 0.0, 2.0), (0.0, 0.0, 0.0, 0.0))	0.010752688172043012
