Category	Circuit	Gate Number
5-input-boolean-circuits	94058	37
5-input-boolean-circuits	72745	31
5-input-boolean-circuits	47630	29
5-input-boolean-circuits	34797	22
5-input-boolean-circuits	24161	28
5-input-boolean-circuits	90460	35
5-input-boolean-circuits	65532	25
5-input-boolean-circuits	54680	33
5-input-boolean-circuits	96930	27
5-input-boolean-circuits	61281	22
5-input-boolean-circuits	90373	33
5-input-boolean-circuits	65845	37
5-input-boolean-circuits	6832	30
5-input-boolean-circuits	88715	32
5-input-boolean-circuits	47980	28
5-input-boolean-circuits	91237	35
5-input-boolean-circuits	43512	34
5-input-boolean-circuits	68956	31
5-input-boolean-circuits	18087	29
5-input-boolean-circuits	57515	31
5-input-boolean-circuits	46493	22
5-input-boolean-circuits	80577	31
5-input-boolean-circuits	76297	29
5-input-boolean-circuits	9210	37
5-input-boolean-circuits	42067	39
5-input-boolean-circuits	42404	32
5-input-boolean-circuits	64931	27
5-input-boolean-circuits	80727	29
5-input-boolean-circuits	23810	30
5-input-boolean-circuits	74178	27
5-input-boolean-circuits	49091	31
5-input-boolean-circuits	6684	22
5-input-boolean-circuits	55865	31
5-input-boolean-circuits	5603	28
5-input-boolean-circuits	10607	29
5-input-boolean-circuits	87839	25
5-input-boolean-circuits	54207	27
5-input-boolean-circuits	34918	28
5-input-boolean-circuits	12818	29
5-input-boolean-circuits	36413	31
5-input-boolean-circuits	58805	38
5-input-boolean-circuits	54264	27
5-input-boolean-circuits	2107	32
5-input-boolean-circuits	42709	27
5-input-boolean-circuits	98263	24
5-input-boolean-circuits	1397	32
5-input-boolean-circuits	48024	33
5-input-boolean-circuits	90463	37
5-input-boolean-circuits	66979	37
5-input-boolean-circuits	5556	31
5-input-boolean-circuits	32266	38
5-input-boolean-circuits	21475	30
5-input-boolean-circuits	71130	32
5-input-boolean-circuits	87277	24
5-input-boolean-circuits	71165	27
5-input-boolean-circuits	3830	22
5-input-boolean-circuits	26658	29
5-input-boolean-circuits	24130	34
5-input-boolean-circuits	72312	29
5-input-boolean-circuits	53065	31
5-input-boolean-circuits	15968	33
5-input-boolean-circuits	14623	29
5-input-boolean-circuits	36527	37
5-input-boolean-circuits	79845	26
5-input-boolean-circuits	75086	36
5-input-boolean-circuits	1273	35
5-input-boolean-circuits	66234	33
5-input-boolean-circuits	23439	30
5-input-boolean-circuits	76407	30
5-input-boolean-circuits	57143	31
5-input-boolean-circuits	59688	25
5-input-boolean-circuits	61042	27
electronic-circuits	multiplier	23
electronic-circuits	RCA16	227
electronic-circuits	hexDisplay	74
electronic-circuits	md5Core	157
electronic-circuits	RCA4	59
electronic-circuits	RCA64	899
electronic-circuits	alu	161
