cut	124
Partition 0	65,99,62
Partition 1	1,18,39,27
Partition 2	98,29,50,52
Partition 3	20,64,34,30
Partition 4	78,43,91,21
Partition 5	16,33,32,19
Partition 6	24,36,69
Partition 7	46,47,60,51
Partition 8	70,59,95,96
Partition 9	0,57,41,54
Partition 10	48,2,97,75
Partition 11	67,88,4,90
Partition 12	71,13,83,56
Partition 13	31,44,79
Partition 14	92,15,87,84
Partition 15	3,89,63,72
Partition 16	77,22,37,23
Partition 17	68,58,55,49
Partition 18	86,7,26,8
Partition 19	94,93,76
Partition 20	85,5,74,81
Partition 21	73,38,6,61
Partition 22	66,45,12,11
Partition 23	53,25,80,28
Partition 24	9,42,35,14
Partition 25	17,10,82,40
