cut	47
Partition 0	12,36,16
Partition 1	37,61,33
Partition 2	25,30,68,74
Partition 3	45,40,49
Partition 4	2,50,54,72
Partition 5	17,35,48
Partition 6	0,53,55,65,32
Partition 7	58,76,78,71
Partition 8	21,51,63
Partition 9	6,7,18
Partition 10	1,44,28,69
Partition 11	23,13,43
Partition 12	8,9,14,47
Partition 13	19,38,57,66
Partition 14	15,75,26
Partition 15	31,39,67
Partition 16	11,20,41,77
Partition 17	22,34,59
Partition 18	46,73
Partition 19	3,4,52,62
Partition 20	27,70,60
Partition 21	10,56,24
Partition 22	5,29,42,64,79
