iteration	t
1	15,46,47,101,105,118,127,166,180,192,249,251,283,341,342,346,426,447,526,545,549,637,733,916,1299,1381,1422,1519,1544,1746,1863,1870,1942,2735,3197,3270,4029,7656,26903,71401
2	65,120,124,159,166,189,275,280,346,375,390,425,427,440,503,582,585,587,661,723,755,871,899,920,958,1064,1258,1971,2037,2141,2239,2258,2499,2917,3126,3385,3387,11753,12375,12996,15402,61756
3	28,35,44,170,175,200,245,280,284,293,350,392,394,452,637,691,713,717,732,826,878,889,921,1024,1288,1319,1926,2008,2014,2186,2476,2615,2780,3232,4045,4412,4454,5360,24773,47098,113444,157284
4	30,42,56,121,168,300,326,343,354,382,433,442,537,555,645,676,688,738,759,859,957,995,1001,1060,1306,1419,1500,1594,1637,1755,1768,1876,1957,2210,2675,6910,8999,10355,10365,11373,30353,36904
5	8,29,42,81,86,126,150,283,323,356,365,368,376,380,400,411,453,456,460,611,669,698,703,825,854,863,949,955,961,968,1024,1077,1207,1215,1802,1948,2795,4757,5145,5258,9942,31768,74778,79949,477532
6	15,44,85,120,133,136,137,146,159,180,182,191,292,356,507,532,536,573,590,603,619,654,749,862,962,1014,1131,1146,1255,1265,1275,1351,1405,1522,1799,2160,2412,2888,3581,4069,7631,7672,8274,8303,11074,12532,20828
7	13,27,28,31,56,79,122,207,238,256,332,342,355,367,381,383,455,554,567,599,620,632,725,818,867,982,1283,1339,1396,1552,1730,2028,2894,3573,4081,4946,5111,5619,7215,55665,55876
8	1,2,32,71,82,132,206,257,278,423,430,501,561,574,597,645,677,737,812,852,1139,1164,1170,1478,1610,1618,1876,1897,1979,2046,2347,2352,2361,2377,2546,2887,3138,11858,12687,36420,337648,347205
9	5,48,56,60,86,123,176,183,243,283,286,287,301,309,344,394,439,445,490,530,704,705,748,1389,1393,1591,1609,2243,2617,2652,3055,3059,3387,3562,3868,4052,4149,5925,6337,6346,8533,16321,18555
10	6,37,60,64,75,101,112,212,251,286,290,296,334,443,581,627,652,667,733,863,883,1000,1089,1093,1268,1271,1293,1760,2078,2080,2381,2401,2455,3359,3471,3924,4116,4561,4712,5017,6069,8976,23202
