cut	117
Partition 0	2198,a_o[0],2195,2197
Partition 1	2185,2186,2196,2194
Partition 2	2200,a_o[1],2199,2184
Partition 3	2191,2192,2193,2190
Partition 4	2124,2183,2126,2182
Partition 5	s_i[1],2064,2125,s_i[0]
Partition 6	2187,2189,2181,2188
Partition 7	2073,2119,2180,2118
Partition 8	t_i[1],2121,2122,2123
Partition 9	2153,2168,2152,2171
Partition 10	2120,2179,2173,2177
Partition 11	m_i[1],2071,2116,2115,2117
Partition 12	2127,2128,2174,2176
Partition 13	2175,2178,2170,2172
Partition 14	m_i[0],2072,2157,2156
Partition 15	2155,2158,t_i[0],2074
Partition 16	2166,2154,2167,2169
Partition 17	2162,2163,2165,2159
Partition 18	a_i[0],2070,2164,2161,2160
Partition 19	2107,2108,2106
Partition 20	2098,2103,2105,2104
Partition 21	2069,2111,2113,2114
Partition 22	a_i[1],2112,2087,2109,2110
Partition 23	b_i[1],2065,2079,2080
Partition 24	2085,2084,2086,2081
Partition 25	2078,2091,2092,2093
Partition 26	2096,2090,2097,c_i[1],2075
Partition 27	2077,2102,2101,d_i[1],2067
Partition 28	2132,2135,2136,2133
Partition 29	c_i[0],2076,2145,2134
Partition 30	2130,2138,2139,2140
Partition 31	b_i[0],2129,2142,2143
Partition 32	2066,2131,d_i[0],2068
Partition 33	2141,2149,2151,2150
Partition 34	2146,2148,2089,2147
Partition 35	round_i[1],2094,2095,2144
Partition 36	2082,2083,2062,2137
Partition 37	2063,2088,2099,round_i[0],2100
