iteration	t
1	23,44,72,75,93,119,123,133,173,176,196,237,250,252,271,314,320,361,387,406,407,438,486,521,532,553,722,837,1216,1225,1293,1604,1797,1934,2147,2754,2861,56580,56595,212459
2	16,19,57,58,65,78,87,101,120,132,151,163,170,181,186,189,219,402,403,422,484,588,617,638,679,689,696,782,891,912,978,1027,1117,1202,1396,1477,1787,2001,2003,2105,2425,3717,3996,5670,7057,8509,9147,27323,28164,418686
3	5,8,30,44,58,65,71,131,141,142,154,163,253,258,265,267,305,348,350,399,432,596,631,684,898,1063,1161,1234,1355,1486,1558,2749,2844,2965,2983,3483,3581,4012,5905,9042,10281,15876,17432,44226,52056
4	4,5,15,44,50,51,52,63,125,134,149,154,175,192,211,220,295,322,364,396,491,539,559,623,661,780,799,963,1097,1249,1350,1424,1490,1715,2426,2806,2930,3209,4784,5322,9443,10586,10738,11528,18246,19835,20572,25182,387669
5	3,12,51,71,72,86,101,160,196,228,237,247,279,339,356,365,385,399,418,434,445,454,473,589,611,665,703,748,796,870,1101,1243,1253,1706,1801,1911,2036,2889,3630,3749,4036,4075,4170,4200,10274,86464,208225
6	3,20,46,51,80,89,138,142,170,218,234,254,255,289,320,321,355,542,546,565,667,756,954,956,1051,1076,1168,1679,1750,1765,2067,2102,2130,2171,2220,2365,2451,3078,3349,3355,3614,3636,4274,4339,8398,10316,16198,16394,39089
7	26,49,66,67,75,88,96,113,118,122,162,178,233,247,262,295,298,304,307,365,409,419,451,466,538,605,626,687,707,767,774,806,875,905,975,995,1071,1304,1590,1965,2021,2872,8829,11012,14462,42786,78207
8	9,14,28,45,63,99,122,141,156,160,189,214,239,269,273,283,313,324,342,420,457,503,537,595,621,669,748,791,987,1047,1097,1475,1544,1565,2709,5234,6225,9174,10633,10739,10890,16757,20018,20341,20632
9	7,13,31,59,62,73,88,117,118,126,128,131,134,171,188,234,235,320,381,412,472,495,517,536,547,769,773,866,882,952,958,985,1088,1214,1241,1258,2773,2980,3512,3964,4162,4677,13833,17406,34658
10	30,58,61,62,72,110,158,176,181,218,326,342,435,475,493,500,518,521,526,614,624,681,685,690,697,699,798,815,821,867,1004,1285,1290,1551,1688,1947,2331,2600,7916,7997,8555,13176,39707
