cut	55
Partition 0	3522,3573
Partition 1	3526,3552
Partition 2	3537,3538
Partition 3	3560,3554
Partition 4	3551,3553
Partition 5	3577,3578
Partition 6	3524,3529,3530
Partition 7	3572,3534
Partition 8	3580,3579
Partition 9	3575,3574
Partition 10	3561,3562,3563
Partition 11	3536,3548
Partition 12	3546,3547
Partition 13	3545,3533,3535
Partition 14	3565,3564
Partition 15	3585,3584
Partition 16	3543,3583
Partition 17	3527,3525
Partition 18	3559,3539
Partition 19	3528,3532,3531
Partition 20	3542,3540,3541
Partition 21	3568,3571
Partition 22	3582,3581
Partition 23	3520,3544
Partition 24	3557,3549,3558
Partition 25	3569,3555
Partition 26	3550,3570
Partition 27	3521,3566,3523
Partition 28	3567,3556,3576
