iteration	t
1	229,269,333,334,343,378,458,623,777,874,893,934,1034,1100,1102,1143,1190,1422,1677,2063,2066,2137,2205,2665,2822,3272,3387,3468,3586,4118,4583,5090,5877,7287,29121,31957,37872,48179
2	62,85,91,135,215,253,279,290,318,344,382,501,538,574,662,754,894,950,1068,1147,1468,1508,1606,2083,2134,2256,2443,2458,2975,3063,3924,9596,12988,14497,18378,43454,70140,85003
3	215,352,383,589,628,659,740,809,841,1001,1020,1169,1441,1773,2567,2907,2966,3280,3292,3866,3966,4246,4329,4684,6386,6914,6963,7005,7067,7373,7431,7675,9568,10276,10525,94948,102970,111816
4	41,60,75,134,199,206,359,410,534,536,563,690,921,974,1186,1260,1291,1294,1419,1899,2117,2176,2386,2773,3098,3674,4045,6132,6259,6321,6454,10428,11002,11019,20138,20623,27567,83937
5	42,101,246,282,456,463,508,512,548,602,701,768,772,803,804,964,1014,1111,1169,1246,1410,2119,2274,3013,3317,4258,4385,4777,6172,6254,6522,7182,8337,8789,12379,13309,17325,17824,21152,35753
6	11,118,229,237,428,436,467,567,725,729,835,975,1029,1186,1297,1408,1469,1471,1518,1532,1590,1825,1976,3296,3570,4267,4629,5130,17453,21557,28325,30443,89110,171946
7	157,167,318,373,466,492,521,532,566,577,691,754,790,823,890,916,929,958,1029,1069,1222,1454,1652,1865,2913,3232,3835,3958,4154,4367,4449,4716,6863,18284,29750,57262,67339,132954,386510
8	115,158,166,167,172,200,273,325,401,424,579,583,595,639,642,811,815,999,1143,1657,1753,1785,2151,2375,2467,2690,2705,3304,3446,7036,8008,8276,35198,50051
9	27,38,53,85,181,200,334,407,433,601,612,1354,1501,1583,2155,2236,2378,2540,2570,3446,3621,3931,4434,4791,4918,5109,6935,13343,16150,16994,30856,35399,35996,51062,178025
10	60,86,215,278,319,379,389,417,486,510,521,529,623,637,939,940,1114,1291,1343,1563,1733,2452,2668,2709,3472,3933,3945,3956,4189,4394,6616,7130,10597,12519,15219,73527,77992
