cut	32
Partition 0	8,70,71
Partition 1	72,64,65
Partition 2	40,41,63,62
Partition 3	56,74,73
Partition 4	3,4,5,6
Partition 5	10,9,17,96
Partition 6	16,15,66,58
Partition 7	60,50,59
Partition 8	80,2,79,78
Partition 9	52,51,57,90
Partition 10	11,12,13,81
Partition 11	14,68,67
Partition 12	43,93,69
Partition 13	44,75,61
Partition 14	34,33,54
Partition 15	39,85,84
Partition 16	83,82,77
Partition 17	45,49,48
Partition 18	38,47,46
Partition 19	1,37,53
Partition 20	0,98,76,31,32
Partition 21	89,88,55
Partition 22	30,87,86
Partition 23	42,97,91
Partition 24	92,7,29
Partition 25	94,95,26
Partition 26	99,28,25,27
Partition 27	20,21,36,35
Partition 28	19,18,23,22,24
