cut	62
Partition 0	7,47
Partition 1	5,22,43
Partition 2	8,34,11
Partition 3	1,40,18
Partition 4	52,55,39
Partition 5	35,12,30
Partition 6	36,65
Partition 7	37,63
Partition 8	10,45,61,19
Partition 9	4,21,32
Partition 10	38,44,68
Partition 11	46,16,48
Partition 12	49,28
Partition 13	17,23,42
Partition 14	3,9,14
Partition 15	26,51,33
Partition 16	57,67,31
Partition 17	13,59,64
Partition 18	6,62
Partition 19	20,25,50
Partition 20	15,29,54,56
Partition 21	58,69,66
Partition 22	0,2,27
Partition 23	41,24,53,60
