iteration	t
1	27,42,149,220,325,328,336,368,418,516,562,638,654,684,713,723,798,842,960,1420,1942,2176,2187,2683,3012,3052,3310,4025,4837,7894,11116,83073
2	260,324,339,430,498,523,547,550,782,853,890,915,982,1020,1063,1225,1287,1368,1378,1399,3021,3117,3874,4478,5454,12321,13199,16097,41870
3	14,42,212,331,380,459,514,867,884,996,1009,1204,1287,1851,2120,2321,2328,2370,2488,2957,3242,3315,3452,5314,5892,12253,13344,14370,99157,131255
4	28,64,160,164,242,334,374,1002,1206,1341,1380,1442,1633,1767,1848,2145,2215,2227,2256,2370,2674,2997,3018,3592,4949,7435,11375,11751,23270,36608,42038,42100,49196
5	77,81,198,212,310,522,542,925,985,1062,1178,1402,1484,1798,1842,1848,2034,2039,2164,2212,3153,3510,4266,4783,6755,12525,13542,17082,76285,83784,167815,196762,322901
6	134,177,238,281,376,411,445,446,504,607,945,1168,1204,1314,1316,1835,1940,2194,2278,2383,3268,3274,3401,3922,5118,5924,6155,6406,6607,12023,13333,81767,116507,337636,355825,356713
7	80,97,106,124,176,456,553,573,652,717,893,1042,1070,1136,1181,1503,1875,3154,3957,4032,4590,7732,9304,9795,11652,13561,48674,65392,119015,123796,135834,404811
8	59,175,197,240,276,470,516,534,582,894,1047,1239,1402,1408,1598,1629,1738,1753,1762,2239,2375,2415,4274,4295,4522,6802,17941,18617,19717,32050,37611,37890,52094,71199,191713
9	87,138,149,171,250,257,288,346,402,542,608,694,697,719,890,1064,1202,1356,1638,2792,2914,2922,2943,2979,4002,4359,5657,8086,8158,8222,29300,29570,29814,40966,41067,306992
10	26,36,79,108,162,353,464,579,580,667,1043,1284,1375,1516,1745,1886,1934,2364,2895,3124,3265,4938,6461,6550,7376,7598,7687,10045,11534,21979,499154
