path	1
T	4
cut	10
Partition 0	797,807,805,806,796
Partition 1	802,803,808
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798,804,809
Partition 4	799,813,816,800,817,819
path	2
T	2
cut	8
Partition 0	797,807,805,806
Partition 1	802,803,804,796,809,808
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	3
T	2
cut	9
Partition 0	797,807,805,806,808,796
Partition 1	802,803,804,809
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	4
T	2
cut	9
Partition 0	797,807,805,806,808,796
Partition 1	802,803,804,809
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	5
T	2
cut	8
Partition 0	797,807,805,806,808
Partition 1	802,803,804,796,809,801
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,798
Partition 4	799,813,816,800,817,819
path	6
T	2
cut	9
Partition 0	797,807,806,808,809,804
Partition 1	802,803,796,805
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	7
T	2
cut	9
Partition 0	797,807,805,806,808,796
Partition 1	802,803,804,809
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	8
T	2
cut	8
Partition 0	797,807,805,806
Partition 1	802,803,804,796,809,808
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	9
T	2
cut	8
Partition 0	797,807,805,806
Partition 1	802,803,804,796,809,808
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
path	10
T	2
cut	9
Partition 0	797,807,805,806,808,802,796
Partition 1	803,804,809
Partition 2	822,810,814,818,820,821
Partition 3	812,811,815,801,798
Partition 4	799,813,816,800,817,819
