cut	92
Partition 0	0,62
Partition 1	20,57,38
Partition 2	45,19,36
Partition 3	4,5,53
Partition 4	55,61,14
Partition 5	9,22,41
Partition 6	3,18
Partition 7	52,69
Partition 8	1,30,28,44
Partition 9	2,42,40
Partition 10	31,32,49
Partition 11	25,24,23
Partition 12	34,16
Partition 13	17,21,11
Partition 14	43,29,27
Partition 15	67,46,13
Partition 16	6,33,48
Partition 17	7,37,35
Partition 18	54,56
Partition 19	64,66,65
Partition 20	15,8,12,26
Partition 21	39,68,47
Partition 22	58,60,50
Partition 23	51,63,10,59
